,HCHO_reading,Location,Current_Date
466,0.00018448677182740953,Colombo Proper,2020-06-10
467,1.0387170742350296e-05,Colombo Proper,2020-06-11
468,1.0387170742350296e-05,Colombo Proper,2020-06-12
469,0.00012623315099481348,Colombo Proper,2020-06-13
470,0.00019543863785050596,Colombo Proper,2020-06-14
471,-3.856742614450761e-06,Colombo Proper,2020-06-15
472,-3.856742614450761e-06,Colombo Proper,2020-06-16
473,0.00014322307671692466,Colombo Proper,2020-06-17
474,7.33823541965766e-05,Colombo Proper,2020-06-18
475,5.250919320498035e-05,Colombo Proper,2020-06-19
476,7.053601420995188e-05,Colombo Proper,2020-06-20
477,7.053601420995188e-05,Colombo Proper,2020-06-21
478,7.179510677216268e-05,Colombo Proper,2020-06-22
479,4.058775404370783e-05,Colombo Proper,2020-06-23
480,4.058775404370783e-05,Colombo Proper,2020-06-24
481,4.058775404370783e-05,Colombo Proper,2020-06-25
482,4.058775404370783e-05,Colombo Proper,2020-06-26
483,0.00010475464489377303,Colombo Proper,2020-06-27
484,9.694238940661947e-05,Colombo Proper,2020-06-28
485,9.694238940661947e-05,Colombo Proper,2020-06-29
486,0.00010067578479271045,Colombo Proper,2020-06-30
487,8.496655202105822e-05,Colombo Proper,2020-07-01
488,5.695702040364191e-05,Colombo Proper,2020-07-02
489,0.00022936386622301205,Colombo Proper,2020-07-03
490,0.0001326400427316771,Colombo Proper,2020-07-04
491,-3.3158529189727524e-05,Colombo Proper,2020-07-05
492,2.917879854773666e-05,Colombo Proper,2020-07-06
493,-1.8534759861492544e-05,Colombo Proper,2020-07-07
494,0.00013675290512561996,Colombo Proper,2020-07-08
495,0.00013675290512561996,Colombo Proper,2020-07-09
496,0.00013675290512561996,Colombo Proper,2020-07-10
497,0.00013675290512561996,Colombo Proper,2020-07-11
498,0.00013675290512561996,Colombo Proper,2020-07-12
499,9.876886113591492e-05,Colombo Proper,2020-07-13
500,0.00015492583835883706,Colombo Proper,2020-07-14
501,0.0001079511928576952,Colombo Proper,2020-07-15
502,0.0001079511928576952,Colombo Proper,2020-07-16
503,0.00013942450343443937,Colombo Proper,2020-07-17
504,0.00011755113910268853,Colombo Proper,2020-07-18
505,0.00011235383423131234,Colombo Proper,2020-07-21
506,0.00011235383423131234,Colombo Proper,2020-07-22
